year_months,avg_price,sample_num
Jan-09,8650,1820
Feb-09,8393,3041
Mar-09,8492,1665
Apr-09,9682,2765
May-09,8736,2070
Jun-09,8646,1913
Jul-09,8928,2459
Aug-09,9323,3966
Sep-09,9320,6291
Oct-09,9289,38023
Nov-09,9605,34151
Dec-09,10436,50779
Jan-10,10688,49236
Feb-10,11174,20502
Mar-10,11574,40485
Apr-10,12152,52452
May-10,12023,36023
Jun-10,12077,34343
Jul-10,12110,40475
Aug-10,12168,28180
Sep-10,12109,23099
Oct-10,12732,21631
Nov-10,12896,36653
Dec-10,13134,61410
Jan-11,13553,55382
Feb-11,13638,39770
Mar-11,13857,50701
Apr-11,13921,38996
May-11,13735,37355
Jun-11,13674,35640
Jul-11,13784,30771
Aug-11,13619,26708
Sep-11,13414,22654
Oct-11,13650,29029
Nov-11,13431,27236
Dec-11,12995,30241
Jan-12,13276,25986
Feb-12,12756,42101
Mar-12,12546,29615
Apr-12,12978,42078
May-12,13029,53177
Jun-12,12726,46693
Jul-12,12390,40660
Aug-12,12795,54706
Sep-12,13135,39729
Oct-12,13202,32040
Nov-12,13203,34683
Dec-12,13511,38415
Jan-13,13488,35141
Feb-13,13894,37340
Mar-13,13783,33060
Apr-13,13839,22351
May-13,13269,26886
Jun-13,14294,50760
Jul-13,13798,50114
Aug-13,14541,54694
Sep-13,14467,51319
Oct-13,14631,44732
Nov-13,14460,51536
Dec-13,14500,53395
Jan-14,15117,39675
Feb-14,15330,36584
Mar-14,15357,42244
Apr-14,15977,61090
May-14,15732,58273
Jun-14,15646,54963
Jul-14,15148,40047
Aug-14,15057,54083
Sep-14,15147,29053
Oct-14,15201,47888
Nov-14,15664,18164
Dec-14,15450,10068
Jan-15,14936,51454
Feb-15,14078,30442
Mar-15,14791,4503
Apr-15,14598,60245
May-15,15211,61671
Jun-15,15408,73389
Jul-15,15366,85974
Aug-15,15494,117049
Sep-15,15325,99730
Oct-15,15695,96785
Nov-15,15612,92078
Dec-15,15680,100536
Jan-16,15786,90215
Feb-16,15857,56010
Mar-16,17909,77385
Apr-16,18644,80240
May-16,18937,75762
Jun-16,18933,77145
Jul-16,19929,113642
Aug-16,20084,109354
Sep-16,21366,140569
Dec-16,25024,146937
Jan-17,25019,154964
Feb-17,26976,75285
Mar-17,27963,139902
Apr-17,26955,194931
May-17,27552,171337
Jul-17,28011,141891
Jun-17,28681,122496
Oct-16,23219,178084
Nov-16,24446,148859
Aug-17,27621,144429
Sep-17,28234,25230
Oct-17,27126,42882
Nov-17,26595,63783
Dec-17,24866,60636
Jan-18,25459,50619
Feb-18,25246,26836
Mar-18,24231,48290
Apr-18,21914,32256
May-18,24791,15631
Jun-18,25451,53590
Sep-18,25154,59190
Aug-18,23787,48431
Jul-18,26137,35560
Oct-18,28166,30311
Nov-18,22990,90552
Dec-18,28030,52078
Jan-19,25296,36221
Feb-19,24551.17,14274
